"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,96 years,507,548,577,591,672,692,725,768,842,899,950,972,1064,1076,1055,1099,1093,1141,1253,1314,1329,1441,1429,1463,1458,1679,1658,1805,1774,1897,1824,1958
 , ,97 years,358,362,364,389,374,456,492,524,554,563,631,657,677,719,720,727,723,736,773,912,914,912,1006,994,1060,1026,1186,1212,1312,1264,1371,1264
 , ,98 years,210,232,257,269,256,245,299,347,362,386,376,403,447,460,470,496,484,468,474,517,615,619,637,663,682,739,698,800,840,910,868,990
 , ,99 years and over,292,298,356,378,393,416,409,433,488,539,590,583,645,691,685,738,740,742,778,815,821,892,966,990,1019,1093,1163,1178,1274,1385,1507,1501
 ,Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,0 years,30347,29207,26987,26964,25929,26499,27445,28447,29013,30299,31369,32565,32945,34757,34568,35612,36054,34853,34774,34074,33906,34418,33479,32990,33351,33142,32908,33537,32976,33656,32435,32628
 , ,1 year,31791,30408,29217,27032,27040,25993,26603,27615,28584,29062,30353,31454,32691,33107,34953,34747,36007,36262,34998,34913,34238,34089,34580,33652,33148,33326,33275,33019,33797,33212,33984,32714
 , ,2 years,31780,31830,30390,29277,27018,27063,26075,26730,27743,28570,29114,30455,31564,32817,33253,35080,34960,36196,36386,35088,34981,34332,34169,34640,33634,33162,33338,33251,33129,33943,33380,34125
 , ,3 years,33736,31768,31827,30344,29262,27017,27145,26180,26836,27789,28649,29236,30550,31672,32890,33328,35352,35136,36289,36489,35170,35049,34438,34233,34675,33625,33196,33359,33280,33253,34034,33490
 , ,4 years,36663,33751,31749,31797,30308,29255,27107,27268,26247,26877,27811,28749,29352,30640,31766,32973,33643,35513,35201,36373,36534,35262,35156,34500,34249,34627,33572,33215,33398,33421,33339,34127
