"Population 1. January by marital status, sex, age and time"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total"
" ","Total"
" "," ","89 years",3284,3456,3634,3751,3920,3834,4100,4058,4128,4218,4415,4565
" "," ","90 years",2826,2727,2842,2983,3087,3248,3195,3348,3353,3419,3467,3621
" "," ","91 years",2253,2298,2212,2327,2423,2512,2620,2562,2697,2700,2750,2749
" "," ","92 years",1503,1780,1789,1756,1830,1924,1956,2053,2034,2154,2141,2139
" "," ","93 years",1149,1164,1358,1405,1295,1399,1474,1502,1604,1564,1650,1641
" "," ","94 years",748,873,906,993,1064,942,1035,1093,1134,1189,1138,1226
" "," ","95 years",600,544,631,691,730,784,690,724,776,814,851,804
" "," ","96 years",394,406,383,452,477,521,549,487,505,549,555,590
" "," ","97 years",284,261,275,250,308,338,359,351,326,345,376,376
" "," ","98 years",163,178,164,187,169,200,221,211,229,203,228,236
" "," ","99 years and over",280,270,262,257,279,273,293,301,315,304,285,287
" ","Women"
" "," ","0 years",29122,28255,27410,27755,28556,30054,30107,29979,29817,29888,30947,28469
" "," ","1 year",31314,29316,28448,27684,28144,28889,30282,30247,30036,29905,30050,31338
" "," ","2 years",31029,31390,29450,28649,28025,28451,28999,30357,30315,30058,30025,30375
" "," ","3 years",32151,31085,31487,29636,28969,28302,28600,29045,30350,30333,30144,30396
" "," ","4 years",31947,32239,31195,31643,29924,29187,28451,28641,29084,30442,30389,30468
" "," ","5 years",32369,32014,32321,31375,31973,30169,29295,28524,28685,29113,30459,30709
" "," ","6 years",32178,32437,32080,32485,31652,32201,30303,29390,28543,28714,29160,30808
" "," ","7 years",32116,32230,32496,32245,32763,31898,32296,30359,29438,28607,28774,29610
" "," ","8 years",32018,32173,32294,32617,32492,32974,31999,32353,30416,29527,28665,29203
" "," ","9 years",31638,32071,32220,32434,32821,32725,33097,32114,32392,30520,29581,29065
" "," ","10 years",32399,31669,32158,32413,32656,33014,32820,33180,32192,32480,30597,29970
" "," ","11 years",33299,32476,31749,32302,32598,32858,33146,32909,33267,32242,32559,31026
" "," ","12 years",33034,33387,32548,31863,32463,32741,32925,33251,32991,33367,32316,32982
" "," ","13 years",32967,33094,33474,32663,32017,32636,32876,33035,33322,33110,33445,32748
